"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1824113587591303199""","Sweden confirms first case of more contagious variant of mpox disease outside Africa https://t.co/dhoXtVxLbO","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 9:29:04 pm","1323","2076","1185","3954","2239425","417","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824113587591303199","","","https://bbc.in/4dGzIMv"
"=""1824096017236549747""","Arrests made over drug-related death of Friends star Matthew Perry last year, US media report https://t.co/fLSWI9Sqo8","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 8:19:15 pm","93","182","13","657","410132","35","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824096017236549747","","","https://bbc.in/3MdTBi5"
"=""1824082910783131827""","JD Vance and Tim Walz agree to US vice-presidential debate on 1 October in New York https://t.co/mE8CyvySqS","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 7:27:10 pm","108","161","37","1063","335526","23","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824082910783131827","","","https://bbc.in/4dFpHz4"
"=""1824081695651365330""","Man charged with attempted murder after police officer was stabbed at high-security Frankland Prison, in England https://t.co/UEQb1kJkXh","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 7:22:20 pm","0","45","7","213","239276","12","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824081695651365330","","","https://bbc.in/3YNwjra"
"=""1824068697658360224""","Boy, 15, first to be charged with more serious offence of rioting during recent UK unrest 

Follow live updates: https://t.co/E2I8XGV6QV","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 6:30:41 pm","26","72","16","359","308662","21","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824068697658360224","","","https://bbc.in/4cthMUs"
"=""1824027524885577832""","More than 40,000 people killed in Gaza as a result of Israeli military action since 7 October attack, Hamas-run health ministry says https://t.co/jO7duO6LAm","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 3:47:05 pm","1124","434","173","1078","838321","66","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824027524885577832","","","https://bbc.in/46MMl6l"
"=""1824024502742773774""","US-Russian woman jailed for 12 years in Russia for treason, over $51 donation to charity supporting Ukraine https://t.co/APaIMmILhz","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 3:35:04 pm","291","402","77","936","470049","57","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824024502742773774","","","https://bbc.in/3X5VpAj"
"=""1824002466532233246""","Top A-level results across England, Wales and Northern Ireland up for first time since 2021 - with 27.8% of all grades marked A* or A 

Follow live: https://t.co/f5YQrx9T3t","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 2:07:31 pm","52","55","15","245","251678","8","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824002466532233246","","","https://bbc.in/4dpFLFr"
"=""1823965346673414250""","UK economy grew by 0.6% between April and June, according to latest figures https://t.co/jRh0vNqW6O","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 11:40:00 am","131","95","14","475","350619","22","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1823965346673414250","","","https://bbc.in/3X5FNwG"
"=""1823892150251065627""","Columbia University President Minouche Shafik resigns months after Gaza protests engulfed campus https://t.co/69K3lD1AIA","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 6:49:09 am","103","93","15","496","329164","23","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1823892150251065627","","","https://bbc.in/3SNTbCZ"
